Product,Original Price,Selling Price,Units Sold,Tag,revenue,discount_percent
"Wisteria Lane 4 Piece Outdoor Patio Furniture Sets, Wicker Conversation Set for Porch Deck, Gray Rattan Sofa Chair with Cushion",,230.01,4,Free shipping,920.04,0.0
"5 Piece Rope Patio Furniture,Weather Conversation Sets for Backyard with Handwoven Armchairs,Pop-Up Cool Bar Wicker Table,Beige",,278.6,1,Free shipping,278.6,0.0
"2-Piece Patio Furniture Wicker Outdoor Loveseat, All-Weather Rattan Conversation for Backyard, Balcony and Deck",,193.8,2,Free shipping,387.6,0.0
3 Piece Patio Furniture Set Small Outdoor Wicker Rattan Front Porch Bistro Set Cushioned Chairs Conversation Poolside (Beige),,133.31,1,Free shipping,133.31,0.0
Smart Bedside Table With Wireless Usb Led Light Nightstand Modern Style Bedroom Simple Wood Bedside Table Bedroom Furniture,108.54,60.86,1,Free shipping,60.86,43.93
Chest of Drawers in the Bedroom Furniture Modern 6 Drawer Vertical Dresser Toilet Furniture Makeup Table Entryway (White) Office,,127.44,8,Free shipping,1019.52,0.0
Upgrade Mid-century Lounge chair With ottoman 100% Aniline leather Palisander black,,899.0,1,Free shipping,899.0,0.0
"4-Piece Patio Furniture Wicker Outdoor Bistro Set,Chairs for Backyard, Balcony and Deck with Soft Cushions and Metal Table",,294.25,2,Free shipping,588.5,0.0
"3 Pieces Patio Furniture PE Rattan Wicker Chair Conversation Set, 26.6x12.1x19.3 inches, Assemble Easily, Sturdy&Durable",,103.15,13,Free shipping,1340.95,0.0
With 2 Locks on the Top Drawers Dresser for Bedroom Furniture 31.5 Inch Wide Chest of Drawers White Toilet Furniture Makeup Desk,,176.82,13,Free shipping,2298.66,0.0
Nordic Style Inflatable Transparent Sofa Lazy Organizer Modern Armchair Couch Single Cheap Divani Soggiorno Bedroom Furniture,38.01,38.01,55,Free shipping,2090.55,0.0
Vanity Desk With Stool Makeup Vanity Table Set 3 Color Lighting Modes Brightness Adjustable Dressers for Bedroom Furniture Girls,,188.91,1,Free shipping,188.91,0.0
Modern Lift Top Coffee Table Wooden Furniture with Storage Shelf and Hidden Compartment for Living Room Office,,48.66,3,Free shipping,145.98,0.0
